PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,class,Passenger,Class,Survivability,age_bin
1,0,3,male,22.0,1,0,7.25,S,3,1,third,Dead,21-30
2,1,1,female,38.0,1,0,71.2833,C,1,2,first,Alive,31-40
3,1,3,female,26.0,0,0,7.925,S,3,3,third,Alive,21-30
4,1,1,female,35.0,1,0,53.1,S,1,4,first,Alive,31-40
5,0,3,male,35.0,0,0,8.05,S,3,5,third,Dead,31-40
7,0,1,male,54.0,0,0,51.8625,S,1,7,first,Dead,51-60
8,0,3,male,2.0,3,1,21.075,S,3,8,third,Dead,0-11
9,1,3,female,27.0,0,2,11.1333,S,3,9,third,Alive,21-30
10,1,2,female,14.0,1,0,30.0708,C,2,10,second,Alive,11-20
11,1,3,female,4.0,1,1,16.7,S,3,11,third,Alive,0-11
12,1,1,female,58.0,0,0,26.55,S,1,12,first,Alive,51-60
13,0,3,male,20.0,0,0,8.05,S,3,13,third,Dead,11-20
14,0,3,male,39.0,1,5,31.275,S,3,14,third,Dead,31-40
15,0,3,female,14.0,0,0,7.8542,S,3,15,third,Dead,11-20
16,1,2,female,55.0,0,0,16.0,S,2,16,second,Alive,51-60
17,0,3,male,2.0,4,1,29.125,Q,3,17,third,Dead,0-11
19,0,3,female,31.0,1,0,18.0,S,3,19,third,Dead,21-30
21,0,2,male,35.0,0,0,26.0,S,2,21,second,Dead,31-40
22,1,2,male,34.0,0,0,13.0,S,2,22,second,Alive,31-40
23,1,3,female,15.0,0,0,8.0292,Q,3,23,third,Alive,11-20
24,1,1,male,28.0,0,0,35.5,S,1,24,first,Alive,21-30
25,0,3,female,8.0,3,1,21.075,S,3,25,third,Dead,0-11
26,1,3,female,38.0,1,5,31.3875,S,3,26,third,Alive,31-40
28,0,1,male,19.0,3,2,263.0,S,1,28,first,Dead,11-20
31,0,1,male,40.0,0,0,27.7208,C,1,31,first,Dead,31-40
34,0,2,male,66.0,0,0,10.5,S,2,34,second,Dead,61-80
35,0,1,male,28.0,1,0,82.1708,C,1,35,first,Dead,21-30
36,0,1,male,42.0,1,0,52.0,S,1,36,first,Dead,41-50
38,0,3,male,21.0,0,0,8.05,S,3,38,third,Dead,11-20
39,0,3,female,18.0,2,0,18.0,S,3,39,third,Dead,11-20
40,1,3,female,14.0,1,0,11.2417,C,3,40,third,Alive,11-20
41,0,3,female,40.0,1,0,9.475,S,3,41,third,Dead,31-40
42,0,2,female,27.0,1,0,21.0,S,2,42,second,Dead,21-30
44,1,2,female,3.0,1,2,41.5792,C,2,44,second,Alive,0-11
45,1,3,female,19.0,0,0,7.8792,Q,3,45,third,Alive,11-20
50,0,3,female,18.0,1,0,17.8,S,3,50,third,Dead,11-20
51,0,3,male,7.0,4,1,39.6875,S,3,51,third,Dead,0-11
52,0,3,male,21.0,0,0,7.8,S,3,52,third,Dead,11-20
53,1,1,female,49.0,1,0,76.7292,C,1,53,first,Alive,41-50
54,1,2,female,29.0,1,0,26.0,S,2,54,second,Alive,21-30
55,0,1,male,65.0,0,1,61.9792,C,1,55,first,Dead,61-80
57,1,2,female,21.0,0,0,10.5,S,2,57,second,Alive,11-20
58,0,3,male,28.5,0,0,7.2292,C,3,58,third,Dead,21-30
59,1,2,female,5.0,1,2,27.75,S,2,59,second,Alive,0-11
60,0,3,male,11.0,5,2,46.9,S,3,60,third,Dead,0-11
61,0,3,male,22.0,0,0,7.2292,C,3,61,third,Dead,21-30
62,1,1,female,38.0,0,0,80.0,,1,62,first,Alive,31-40
63,0,1,male,45.0,1,0,83.475,S,1,63,first,Dead,41-50
64,0,3,male,4.0,3,2,27.9,S,3,64,third,Dead,0-11
67,1,2,female,29.0,0,0,10.5,S,2,67,second,Alive,21-30
68,0,3,male,19.0,0,0,8.1583,S,3,68,third,Dead,11-20
69,1,3,female,17.0,4,2,7.925,S,3,69,third,Alive,11-20
